# trial, step, v_x_car, v_y_car, x_car, y_car, v_x_ped_0,v_y_ped_0,x_ped_0,y_ped_0,a_x_0,a_y_0,noise_v_x_0,noise_v_y_0,noise_x_0,noise_y_0,reward
0.000000000000000000e+00,0.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.388300000000000267e+01,0.000000000000000000e+00,4.561991111280783162e-02,9.946464968403707640e-01,-4.977190044443596251e-01,-3.900267675157981451e+00,4.561991111280783162e-01,-5.353503159629223462e-02,4.543682286010661958e-02,1.639167121685473072e-01,-7.212061658978119461e-02,-8.210571839822918827e-01,-1.452559183170435642e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.276600000000000534e+01,0.000000000000000000e+00,1.221210289205774679e-01,9.945755397401682130e-01,-4.893319574426903684e-01,-3.800806573328954663e+00,7.650111780776962522e-01,-7.095710020259115430e-04,-1.258813844273610205e-01,-2.421399085477892454e-01,-6.942769989291013299e-01,-9.934283507667031055e-01,-1.403940374193206164e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.164900000000000446e+01,0.000000000000000000e+00,1.836108505818744019e-01,9.551234134171039392e-01,-4.740453634675677597e-01,-3.703321625671091244e+00,6.148982166129692839e-01,-3.945212632306427936e-01,-1.189654991670270334e-01,-2.161234489250776214e-01,-1.174738821737936867e+00,-6.929210132624558094e-01,-1.758183864149912567e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.053200000000000358e+01,0.000000000000000000e+00,2.567678264019034873e-01,9.518409964277136925e-01,-4.520264296183788555e-01,-3.607973405178850346e+00,7.315697582002910204e-01,-3.282416989390212619e-02,-1.263966244625504276e-01,-5.647619993198984556e-01,-2.886681874431101802e-01,-1.046912868257019458e+00,-1.390696907464890719e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.941500000000000270e+01,0.000000000000000000e+00,2.196706799697006052e-01,9.167748875842457457e-01,-4.282045042997986717e-01,-3.514542610978252490e+00,-3.709714643220288210e-01,-3.506610884346790802e-01,-2.908618324054972337e-01,9.384111745444057018e-02,-4.381712823383526745e-02,-1.450718865760991738e+00,-1.703871394434302466e+00
0.000000000000000000e+00,5.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.829800000000000182e+01,0.000000000000000000e+00,2.391518448110327433e-01,8.932627546586965339e-01,-4.052633780607620140e-01,-3.424040728866105443e+00,1.948116484133212145e-01,-2.351213292554920065e-01,-3.010747688416505752e-01,-3.010280401221395730e-01,-3.126954549876999057e-01,-1.081189435069646931e+00,-1.407881157426661645e+00
0.000000000000000000e+00,6.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.718100000000000094e+01,0.000000000000000000e+00,2.526864972639422113e-01,9.128612009377801151e-01,-3.806714609570132635e-01,-3.333734531086281372e+00,1.353465245290947916e-01,1.959844627908360615e-01,-4.296443330552051076e-01,-6.135828159866074660e-01,-5.070795859590214727e-01,-7.448889572484648225e-01,-1.237092621700184081e+00
0.000000000000000000e+00,7.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.606400000000000006e+01,0.000000000000000000e+00,2.705328652992892713e-01,8.928883418762797453e-01,-3.545104928288517199e-01,-3.243447053945578418e+00,1.784636803534704053e-01,-1.997285906150040036e-01,-4.543025276973550741e-01,-7.169877275476657097e-01,-8.496091894829673752e-01,-8.658503747449779464e-01,-1.198109351889307339e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.494699999999999918e+01,0.000000000000000000e+00,2.135622370959215088e-01,9.001682120769616269e-01,-3.303057377090911628e-01,-3.153794226247916388e+00,-5.697062820336776801e-01,7.279870200681849701e-02,-5.315152656934182263e-01,-2.578656973266519881e-01,-4.625892539671300763e-01,-4.693220718802503244e-01,-1.300109715628846363e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.382999999999999829e+01,0.000000000000000000e+00,2.222673132886883174e-01,9.096835248715922084e-01,-3.085142601898606673e-01,-3.063301639400488607e+00,8.705076192766800225e-02,9.515312794630631510e-02,-5.307665669399124209e-01,-4.933732933832695733e-01,-6.428466919149999903e-02,-9.857526312256701395e-01,-1.127755284924764512e+00
