# trial, step, v_x_car, v_y_car, x_car, y_car, v_x_ped_0,v_y_ped_0,x_ped_0,y_ped_0,a_x_0,a_y_0,noise_v_x_0,noise_v_y_0,noise_x_0,noise_y_0,reward
0.000000000000000000e+00,0.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.388300000000000267e+01,0.000000000000000000e+00,-1.053601120567111415e-01,1.096875260396015239e+00,-5.052680056028355793e-01,-3.895156236980199083e+00,-1.053601120567111415e+00,9.687526039601530581e-01,-3.462994315503118981e-01,-4.653185227927569834e-01,2.727322082155941851e-02,-5.192836713189840081e-01,-2.436502400265603274e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.276600000000000534e+01,0.000000000000000000e+00,-1.920269422850025276e-01,1.144198692475486778e+00,-5.201373583199212502e-01,-3.783102539336623771e+00,-8.666683022829138050e-01,4.732343207947146135e-01,-1.961059507215502373e-01,7.886566318022678046e-02,1.013476308566278572e+00,-7.287653058038323639e-01,-2.038553505133360311e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.164900000000000446e+01,0.000000000000000000e+00,-2.448450543729784046e-01,1.141473758201426270e+00,-5.419809581528203246e-01,-3.668818916802778052e+00,-5.281811208797587698e-01,-2.724934274060519801e-02,-1.329772259303301007e+00,6.328339850795758892e-01,1.015804164320980446e-01,-1.396270722326402369e+00,-1.513905014023237960e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.053200000000000358e+01,0.000000000000000000e+00,-2.951363145827787249e-01,1.110479480048097267e+00,-5.689800266006082019e-01,-3.556221254890302053e+00,-5.029126020980033696e-01,-3.099427815332904679e-01,-7.803464329439581126e-01,5.758283091580873592e-01,-4.700998234042599311e-01,-3.840907580035900493e-01,-1.702006747939484033e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.941500000000000270e+01,0.000000000000000000e+00,-4.373843798179490316e-01,1.111988516127872639e+00,-6.056060613206445398e-01,-3.445097855081503457e+00,-1.422480652351703068e+00,1.509036079775291639e-02,-1.193629914162939176e+00,7.826929238525302812e-02,-2.767757993265011485e-01,-1.048663206479457433e+00,-1.563017728987297073e+00
0.000000000000000000e+00,5.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.829800000000000182e+01,0.000000000000000000e+00,-5.055217087360176498e-01,1.094697235687341674e+00,-6.527513657483429155e-01,-3.334763567490742542e+00,-6.813732891806857372e-01,-1.729128044053091506e-01,-9.973919776989391694e-01,5.329666375716282101e-01,-3.756995356597559454e-01,-7.842304108547791808e-01,-1.572934989414038975e+00
0.000000000000000000e+00,6.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.718100000000000094e+01,0.000000000000000000e+00,-5.461766823143819893e-01,1.084683314638979601e+00,-7.053362853008628974e-01,-3.225794539974426556e+00,-4.065497357836428960e-01,-1.001392104836217878e-01,-9.506369732927899552e-01,5.309269967153618097e-01,3.095524214500039450e-01,-7.021838387185850294e-01,-1.528167869333848738e+00
0.000000000000000000e+00,7.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.606400000000000006e+01,0.000000000000000000e+00,-6.789960398568628541e-01,1.062554305327413795e+00,-7.665949214094252007e-01,-3.118432658976106886e+00,-1.328193575424809092e+00,-2.212900931156580597e-01,1.071374268809283103e-01,-1.178559157331584839e-01,2.395369944791447270e-01,-1.393974906757559973e+00,-1.770396325932927617e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.494699999999999918e+01,0.000000000000000000e+00,-7.858591600131930033e-01,1.080705024465945074e+00,-8.398376814029280268e-01,-3.011269692486438831e+00,-1.068631201563301492e+00,1.815071913853132379e-01,-2.814357366599061772e-01,-6.107774667098428978e-01,2.645690412864011853e-01,-4.679780885267385560e-01,-1.692865503738635535e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.382999999999999829e+01,0.000000000000000000e+00,-8.107447299761936232e-01,1.066235527337833888e+00,-9.196678759023974026e-01,-2.903922664896249728e+00,-2.488556996300065327e-01,-1.446949712811109734e-01,-7.976885135739175681e-02,1.698546700111050189e-01,-1.044354669647291900e-01,-9.898356647587741586e-01,-1.435707819189888212e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-2.271299999999999741e+01,0.000000000000000000e+00,-8.300803534381385740e-01,1.087191959276247788e+00,-1.001709130073114018e+00,-2.796251290565545666e+00,-1.933562346194500070e-01,2.095643193841379426e-01,-6.218982947461781929e-02,-1.399044509550638471e-01,2.863324953955427299e-01,-9.715752290908010735e-01,-1.525825734049119697e+00
0.000000000000000000e+00,1.100000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-2.159599999999999653e+01,0.000000000000000000e+00,-8.825219933013475071e-01,1.118641133856807190e+00,-1.087339247410088250e+00,-2.685959635908893084e+00,-5.244163986320895532e-01,3.144917458055931370e-01,-5.677802706239286623e-01,-2.932352661208838529e-01,2.831149100467086899e-01,-3.775741679135338758e-01,-1.688099256907517498e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-2.047899999999999565e+01,0.000000000000000000e+00,-9.588099496022020052e-01,1.121762399196839288e+00,-1.179405844555265759e+00,-2.573939459256210593e+00,-7.628795630085445367e-01,3.121265340032139401e-02,4.806092255832529192e-01,-5.848958732693574358e-01,1.246462745544945350e-01,-8.580212399704588710e-01,-1.584792046122722509e+00
0.000000000000000000e+00,1.300000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-1.936199999999999477e+01,0.000000000000000000e+00,-9.894839457422971440e-01,1.176971832336035417e+00,-1.276820539322490733e+00,-2.459002747679567058e+00,-3.067399614009511666e-01,5.520943313919610684e-01,-1.527875914233422783e-01,3.230992291479605760e-01,-4.093982084668538191e-01,-1.623181382046244181e+00,-1.974356889038354490e+00
0.000000000000000000e+00,1.400000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-1.824499999999999389e+01,0.000000000000000000e+00,-1.027048223646990666e+00,1.172671356264975984e+00,-1.377647147791955184e+00,-2.341520588249516699e+00,-3.756427790469348271e-01,-4.300476071059536332e-02,-2.816007745735667478e-01,2.491708321511001412e-01,2.702934040295386642e-01,-1.005367407500159072e+00,-1.456192571741516506e+00
0.000000000000000000e+00,1.500000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-1.712799999999999301e+01,0.000000000000000000e+00,-1.076887930009001071e+00,1.197067304751880057e+00,-1.482843955474754782e+00,-2.223033655198674019e+00,-4.983970636201032200e-01,2.439594848690414541e-01,-2.028157014901774136e-01,2.716554021801079744e-01,-2.254177902913246379e-01,-1.525720656099004424e-01,-1.642258233718689286e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-1.601099999999999213e+01,0.000000000000000000e+00,-1.104489587563340258e+00,1.212097019853940250e+00,-1.591912831353371915e+00,-2.102575438968382837e+00,-2.760165755433914292e-01,1.502971510206012606e-01,-2.078518757655321014e-01,2.011542500632009234e-01,-6.689047107386014712e-02,6.270085558931901559e-01,-1.633549532443015595e+00
0.000000000000000000e+00,1.700000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-1.489399999999999125e+01,0.000000000000000000e+00,-1.136565414380539263e+00,1.256885086871830204e+00,-1.703965581450565869e+00,-1.979126333632094337e+00,-3.207582681719911566e-01,4.478806701788984879e-01,2.451446281702633345e-01,-8.003394746255559911e-02,-7.712940751089066849e-01,-1.002224329476687492e-01,-1.857383796462685810e+00
0.000000000000000000e+00,1.800000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-1.377699999999999037e+01,0.000000000000000000e+00,-1.163264412932386360e+00,1.244284926152844806e+00,-1.818957072816212106e+00,-1.854067832980860642e+00,-2.669899855184718618e-01,-1.260016071898530932e-01,-3.715769592240747432e-01,-3.509287662547858622e-01,-1.828284784682761288e-01,4.622523620222517282e-01,-1.474728297477768457e+00
0.000000000000000000e+00,1.900000000000000000e+01,1.026999999999999957e+01,0.000000000000000000e+00,-1.265999999999998948e+01,0.000000000000000000e+00,-1.163640831697367650e+00,1.289715767516495193e+00,-1.935302335047699884e+00,-1.727367798297393620e+00,-3.764187649812678060e-03,4.543084136365035386e-01,-4.413810032449344556e-01,5.354344293135244737e-01,1.141378339802561898e-01,3.458715381375983000e-01,-1.933182302001376307e+00
0.000000000000000000e+00,2.000000000000000000e+01,9.369999999999999218e+00,0.000000000000000000e+00,-1.163299999999999024e+01,0.000000000000000000e+00,-1.085242884590604362e+00,1.267436125782685163e+00,-2.047746520862098407e+00,-1.599510203632434679e+00,7.839794710676337708e-01,-2.227964173380999058e-01,-4.652041334969300723e-01,4.594324448665520477e-01,7.804421602719191497e-02,-7.631396939394732293e-01,-1.703648608858623348e+00
0.000000000000000000e+00,2.100000000000000000e+01,9.549999999999998934e+00,0.000000000000000000e+00,-1.069599999999999085e+01,0.000000000000000000e+00,-1.077356022201245045e+00,1.260698423673496160e+00,-2.155876466201690711e+00,-1.473103476159625558e+00,7.886862389359250436e-02,-6.737702109188956068e-02,1.017896088748930783e-01,-8.138599364184802287e-02,-7.431212983762413016e-01,-2.866415714350759592e-01,-1.298602584830076401e+00
0.000000000000000000e+00,2.200000000000000000e+01,9.711999999999999744e+00,0.000000000000000000e+00,-9.740999999999990777e+00,0.000000000000000000e+00,-1.099087152790252597e+00,1.334132948175458244e+00,-2.264698624951265504e+00,-1.343361907567177882e+00,-2.173113058900758288e-01,7.343452450196215064e-01,2.489422981582828376e-02,5.054185383352666205e-01,-6.556106512284833876e-01,-4.153805298051396200e-01,-2.196120705088387748e+00
0.000000000000000000e+00,2.300000000000000000e+01,9.857799999999999230e+00,0.000000000000000000e+00,-8.769799999999991158e+00,0.000000000000000000e+00,-1.132037861029930204e+00,1.332568828894339585e+00,-2.376254875642274556e+00,-1.210026818713688002e+00,-3.295070823967766183e-01,-1.564119281118725446e-02,-5.904391935404986747e-01,-5.111536657827474295e-02,2.543630998023151957e-01,7.901887006242158673e-02,-1.449167993105960228e+00
0.000000000000000000e+00,2.400000000000000000e+01,8.957799999999998875e+00,0.000000000000000000e+00,-7.784019999999991057e+00,0.000000000000000000e+00,-1.230548189249792479e+00,1.389230301872637963e+00,-2.494384178156260568e+00,-1.073936862175339124e+00,-9.851032821986229759e-01,5.666147297829842167e-01,-1.555576624144364151e-01,-4.511112148941261446e-01,9.732985135823180034e-02,-7.410065773118484911e-02,-2.083875505311481025e+00
0.000000000000000000e+00,2.500000000000000000e+01,8.057799999999998519e+00,0.000000000000000000e+00,-6.888239999999990815e+00,0.000000000000000000e+00,-1.278113635645480750e+00,1.402541325702084674e+00,-2.619817269401024440e+00,-9.343482807966030368e-01,-4.756544639568823785e-01,1.331102382944669704e-01,1.677953474032102266e-01,1.086818468698286244e+00,2.663959437277422237e-01,-8.357254256981632157e-01,-1.729710782246908884e+00
0.000000000000000000e+00,2.600000000000000000e+01,8.357799999999999230e+00,0.000000000000000000e+00,-6.082459999999990430e+00,0.000000000000000000e+00,-1.260538799428327694e+00,1.425453240920343312e+00,-2.746749891154714796e+00,-7.929485524654815709e-01,1.757483621715304478e-01,2.291191521825854116e-01,-1.078359178208373875e-01,8.540141371462417474e-02,-2.667559494619780591e-01,-6.660865958400256082e-01,-1.499816340667579295e+00
0.000000000000000000e+00,2.700000000000000000e+01,7.457799999999998875e+00,0.000000000000000000e+00,-5.246679999999990685e+00,0.000000000000000000e+00,-1.297066443620393583e+00,1.451705513226910771e+00,-2.874630153307150771e+00,-6.490906147581188002e-01,-3.652764419206599444e-01,2.625227230656743682e-01,-8.937647835123434248e-02,1.157964390632445772e-01,-6.838317053872827733e-02,-3.255367267929111241e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.388300000000000267e+01,0.000000000000000000e+00,-5.525264049786678122e-02,1.059473791566280410e+00,-5.027626320248933522e-01,-3.897026310421686013e+00,-5.525264049786677845e-01,5.947379156628037622e-01,-7.200648462836825026e-01,-2.109166095474656055e-01,9.233727657341474215e-02,-1.155821999091864338e+00,-2.024140944662357278e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.276600000000000534e+01,0.000000000000000000e+00,-1.001727654617665247e-01,9.827046896240232421e-01,-5.105339023228749884e-01,-3.794917386362171019e+00,-4.492012496389973797e-01,-7.676910194225715633e-01,-1.287726222246906027e-01,5.795559297997725512e-01,5.336789503781776828e-02,-9.910594341591515422e-01,-2.248883267679627984e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.164900000000000446e+01,0.000000000000000000e+00,-1.971407868082540871e-01,9.815857785677459812e-01,-5.253995799363759822e-01,-3.696702862952582436e+00,-9.696802134648754290e-01,-1.118911056277238636e-02,-7.498186352463813709e-01,-3.407175418545235202e-01,-1.306954849781378492e-01,-1.251428137287678766e+00,-1.513426143377885946e+00
1.000000000000000000e+00,3.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.053200000000000358e+01,0.000000000000000000e+00,-3.019938467917605562e-01,1.009644627824543672e+00,-5.503563116163767699e-01,-3.597141342632967920e+00,-1.048530599835064692e+00,2.805884925679773545e-01,-3.621725345463011614e-01,8.326745101947460315e-01,6.477520479297864675e-01,7.313415612651086306e-02,-1.957124613001756552e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.941500000000000270e+01,0.000000000000000000e+00,-3.397401161322697316e-01,1.056094764268717956e+00,-5.824430097625782343e-01,-3.493854373028304927e+00,-3.774626934050914762e-01,4.645013644417429477e-01,-7.340634103641092700e-01,2.483761868621314761e-06,3.259491682534984558e-01,-5.764404323417431364e-01,-1.875585270618444822e+00
1.000000000000000000e+00,5.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.829800000000000182e+01,0.000000000000000000e+00,-3.387730502376155028e-01,1.017293824601955610e+00,-6.163686680810724905e-01,-3.390184943584771293e+00,9.670658946542398660e-03,-3.880093966676239070e-01,-4.650338714512066707e-01,5.725529302086627137e-01,6.618475536299002204e-01,-1.263861366865305591e+00,-1.851910504661673507e+00
1.000000000000000000e+00,6.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.718100000000000094e+01,0.000000000000000000e+00,-4.010660396083336465e-01,1.038685483616504923e+00,-6.533606225733699091e-01,-3.287385978173848144e+00,-6.229298937071812148e-01,2.139165901454935792e-01,1.368031146456818448e-01,4.960111074996255698e-01,1.187236911647368692e-01,-7.035735149499466878e-01,-1.712378051804016588e+00
