# trial, step, v_x_car, v_y_car, x_car, y_car, v_x_ped_0,v_y_ped_0,x_ped_0,y_ped_0,a_x_0,a_y_0,noise_v_x_0,noise_v_y_0,noise_x_0,noise_y_0,reward
0.000000000000000000e+00,0.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.388300000000000267e+01,0.000000000000000000e+00,-2.030793947307276207e-02,9.810601376882915892e-01,-5.010153969736536039e-01,-3.900946993115585570e+00,-2.030793947307276137e-01,-1.893986231170846080e-01,-4.215516299759806129e-01,1.098518103521116396e-01,-5.464582138781332032e-01,-5.107376756680876984e-01,-1.387468774740786559e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.276600000000000534e+01,0.000000000000000000e+00,-1.476413793312888675e-02,9.770595885965595029e-01,-5.027690008439636982e-01,-3.803041006801342938e+00,5.543801539943875312e-02,-4.000549091732108486e-02,-4.630435467603852273e-01,-2.574175148426932069e-01,-4.581512057393237747e-01,-6.998433262804909516e-01,-1.030549905076649342e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.164900000000000446e+01,0.000000000000000000e+00,-1.577486359400480723e-02,9.694894301599717990e-01,-5.042959509203204238e-01,-3.705713555863516362e+00,-1.010725660875920126e-02,-7.570158436587735851e-02,-9.696935846285663629e-01,-2.167825488956926505e-01,-3.001861738551893644e-01,-8.526346701346083634e-01,-1.044091427940449623e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.053200000000000358e+01,0.000000000000000000e+00,-2.229523542872008379e-02,9.814794060919721508e-01,-5.061994558714566494e-01,-3.608165114050918998e+00,-6.520371834715277259e-02,1.198997593200040179e-01,-1.110935765619916804e+00,-5.457062765023866779e-01,1.267110247950287150e-01,-9.164068174342414608e-01,-1.187096013015441320e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.941500000000000270e+01,0.000000000000000000e+00,-1.013641546729707882e-02,9.916988676697788829e-01,-5.078210384162574753e-01,-3.509506200362831230e+00,1.215881996142300359e-01,1.021946157780675712e-01,-5.936443145841338032e-01,1.115288250557671113e-01,-5.954884985466915026e-01,-4.366045173356405407e-01,-1.232048487284477467e+00
0.000000000000000000e+00,5.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.829800000000000182e+01,0.000000000000000000e+00,6.438386297722878404e-03,9.864718181896443561e-01,-5.080059398747361898e-01,-3.410597666069860256e+00,1.657480176501995583e-01,-5.227049480134578902e-02,-9.216664163852661407e-01,-1.223343675697585731e+00,-6.955617920622279016e-01,-5.553885812340904060e-01,-7.586656492255441364e-01
0.000000000000000000e+00,6.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.718100000000000094e+01,0.000000000000000000e+00,2.699295120755586253e-02,9.599655956133881229e-01,-5.063343729994722597e-01,-3.313275795379708732e+00,2.055456490983298412e-01,-2.650622257625627753e-01,-8.322876318213540126e-01,-1.219426215663512170e-01,-8.484188894472783904e-01,-8.195705287050883969e-01,-1.409998351488647605e+00
0.000000000000000000e+00,7.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.606400000000000006e+01,0.000000000000000000e+00,6.444617723494289185e-02,9.185545115500243218e-01,-5.017624165773473255e-01,-3.219349790021538205e+00,3.745322602738703766e-01,-4.141108406336381220e-01,-8.135446197620178621e-01,-2.796618121315844196e-01,-6.724045672300018595e-01,-1.186488296396234432e+00,-1.703816860148946954e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.494699999999999918e+01,0.000000000000000000e+00,4.607226337581567244e-02,9.125711405986736136e-01,-4.962364945468094035e-01,-3.127793507414103225e+00,-1.837391385912721664e-01,-5.983370951350754086e-02,-9.754067024699412114e-01,-6.168570745583608073e-01,-1.805161699378241003e-01,-7.569640736741206632e-01,-9.933244069191471404e-01
0.000000000000000000e+00,9.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.382999999999999829e+01,0.000000000000000000e+00,3.164699298979502945e-02,9.391379296428451484e-01,-4.923505317285288840e-01,-3.035208053902027192e+00,-1.442527038602064160e-01,2.656678904417149600e-01,-7.815806800672484567e-01,-1.106743171066788101e+00,-7.948482522548415696e-01,-6.929722321650663153e-01,-1.329618459476856529e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-2.271299999999999741e+01,0.000000000000000000e+00,-4.125694240598202361e-02,9.151374467533555102e-01,-4.928310291993382442e-01,-2.942494285082217331e+00,-7.290393539577705306e-01,-2.400048288948969377e-01,-1.303595742615490938e+00,-4.142632461000513300e-01,-5.474091077536311634e-01,-9.320206895269386171e-01,-1.510586957675869257e+00
0.000000000000000000e+00,1.100000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-2.159599999999999653e+01,0.000000000000000000e+00,-7.672449729480865233e-02,9.048796998394188495e-01,-4.987301011843777721e-01,-2.851493427752578746e+00,-3.546755488882663010e-01,-1.025774691393670779e-01,-1.235232122493961970e+00,-4.557511579752258624e-01,3.155400828587637818e-01,-2.263053346241052921e-01,-1.381003535669074411e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-2.047899999999999565e+01,0.000000000000000000e+00,-9.713245535514347662e-02,9.207153066197941715e-01,-5.074229488168753299e-01,-2.760213677429617984e+00,-2.040795806033482429e-01,1.583560678037528313e-01,-1.148217023849309681e+00,-8.769689887653547844e-01,-8.396087016613704712e-01,-1.034683787639890218e+00,-1.007821996898172312e+00
0.000000000000000000e+00,1.300000000000000000e+01,1.116999999999999993e+01,0.000000000000000000e+00,-1.936199999999999477e+01,0.000000000000000000e+00,-1.134106274326422276e-01,9.377688134244442919e-01,-5.179501029562646464e-01,-2.667289471427406244e+00,-1.627817207749875372e-01,1.705350680465012592e-01,-1.057042549018579081e+00,-4.529670728328207829e-01,-5.293349015172975625e-01,-1.107592807618171804e+00,-1.136373435122922437e+00
