PolicyExecTime,AveragePolicyStd,NumTrajs,MinReturn,Time,Perplexity,Entropy,AverageReturn,ExplainedVariance,ProcessExecTime,MeanKLBefore,MaxReturn,EnvExecTime,dLoss,Iteration,AverageDiscountedReturn,LossBefore,ItrTime,MeanKL,LossAfter,StdReturn
0.05026125907897949,1.0,40,-10834.0082617,1.2966976165771484,4.13273,1.41894,-10728.270726,2.55351295664e-15,0.023652315139770508,0.0,-10589.4538041,0.4332115650177002,0.00406484493986,0,-3965.15608951,-1.90734859018e-08,1.296703577041626,0.0568353421986,-0.00406486401334,51.2177925845
0.06587648391723633,1.00756,40,-10765.9475015,2.207038402557373,4.16397,1.42647,-10676.258738,0.999952603485,0.02890610694885254,0.0,-10530.411853,0.6097509860992432,0.0267173708081,1,-3945.97832822,-1.43051148704e-09,0.9057493209838867,0.0707663148642,-0.0267173722386,46.2233587783
0.0681004524230957,1.01715,40,-10666.0923185,3.168304443359375,4.20361,1.43594,-10568.7316245,0.999897336824,0.028000593185424805,0.0,-10409.9424454,0.6116104125976562,0.00217944249324,2,-3906.38177027,-7.62939489363e-09,0.9571850299835205,0.00472939619794,-0.00217945012264,65.2961307139
0.0549314022064209,1.0138,40,-10666.4188475,3.9149484634399414,4.18975,1.43264,-10587.7536614,0.99996532572,0.022728919982910156,0.0,-10399.1869353,0.5476791858673096,0.0110299536213,3,-3913.43892344,2.56299976797e-08,0.7424213886260986,0.0336809307337,-0.0110299279913,55.4831424338
0.03572654724121094,0.939259,40,-10655.6381087,4.556351900100708,3.88171,1.35628,-10528.6638904,0.999936049635,0.019776105880737305,0.0,-10366.6446452,0.44793057441711426,0.0131702378541,4,-3891.60239422,8.58306847817e-09,0.6374318599700928,0.0846271887422,-0.0131702292711,66.2277949247
0.05173897743225098,0.903678,40,-10615.0877779,5.378188610076904,3.73466,1.31766,-10471.1689542,0.999895640139,0.028242111206054688,0.0,-10131.5073174,0.5460388660430908,0.012050865151,5,-3870.51768242,-2.86102297409e-09,0.8178837299346924,0.0885107293725,-0.012050868012,98.9710472937
0.09383702278137207,0.899314,42,-10584.7211362,6.630155563354492,3.71662,1.31282,-9671.78869088,0.810444164538,0.03660440444946289,0.0,1.76610185499,0.9077317714691162,0.0290859339756,6,-3575.06462007,1.65772657823e-08,1.2478752136230469,0.0851681008935,-0.0290859173983,2684.12269605
0.0919492244720459,0.907941,44,-10609.391073,7.839204549789429,3.75228,1.32236,-9038.86339658,0.810020683644,0.035395145416259766,0.0,1.7174063363,0.8676164150238037,0.0298764241625,7,-3340.9635314,-1.66009979097e-08,1.2036371231079102,0.0714651867747,-0.0298764407635,3593.15182794
0.0559229850769043,0.876838,48,-10716.3156123,8.685189962387085,3.62374,1.28751,-7892.52013741,0.755856025384,0.025467395782470703,0.0,1.88728556186,0.6251766681671143,0.019495341789,8,-2917.22842429,7.31274107935e-09,0.8415098190307617,0.0696870982647,-0.0194953344762,4558.6623439
0.07377076148986816,0.777796,50,-10832.1443085,9.751620054244995,3.21442,1.16765,-6712.40385599,0.641330496598,0.034940481185913086,0.0,3.49951060285,0.7605648040771484,0.0244330797577,9,-2480.98097558,3.50410118699e-08,1.0623774528503418,0.0598588474095,-0.0244330447167,5037.07792944
0.09585881233215332,0.751762,53,-10804.5638111,11.03892207145691,3.10683,1.1336,-5788.44839854,0.700781861087,0.038636207580566406,0.0,2.50081233947,0.8641376495361328,0.0450455406361,10,-2139.38239598,6.05039502943e-08,1.2838950157165527,0.0640994235873,-0.0450454801321,5268.21604565
0.08913612365722656,0.757441,47,-10827.7394184,12.207279920578003,3.1303,1.14113,-7588.93432172,0.664788102883,0.03291797637939453,0.0,2.54711878582,0.8510785102844238,0.00963471710946,11,-2805.00139995,-5.80001326966e-08,1.1636478900909424,0.0693433582783,-0.00963477510959,4694.96329504
0.049591064453125,0.724813,56,-10761.5295165,13.003617525100708,2.99546,1.0971,-5429.16883189,0.682768277693,0.025751829147338867,0.0,2.41433111836,0.5812242031097412,0.0149857763011,12,-2006.49379419,-2.25569678491e-08,0.792975664138794,0.0550330616534,-0.0149857988581,5240.693642
0.09114432334899902,0.750155,55,-10681.8564609,14.203553438186646,3.10019,1.13146,-5310.23703842,0.704037239036,0.040650129318237305,0.0,2.03340294947,0.8622133731842041,0.0213073565809,13,-1962.6408988,-7.64431007383e-08,1.1948676109313965,0.0887454226613,-0.021307433024,5216.75050661
0.08887243270874023,0.723103,60,-10618.1638355,15.344806671142578,2.98839,1.09474,-3297.24407594,0.605860600317,0.036852359771728516,0.0,2.28391776681,0.8021366596221924,0.0154565463967,14,-1218.53811947,-1.08771880392e-08,1.135817050933838,0.0894595682621,-0.0154565572739,4845.63053989
0.09586286544799805,0.704436,57,-10795.0444142,16.499303817749023,2.91124,1.06858,-4251.62858089,0.599060036462,0.03918910026550293,0.0,2.84065148269,0.8768784999847412,0.00644005257258,15,-1571.28491955,-1.06360822372e-07,1.1506521701812744,0.0563380867243,-0.0064401589334,5171.20849559
0.05525088310241699,0.707335,59,-10668.2773561,17.402409076690674,2.92322,1.07269,-3186.05232235,0.512057164221,0.02855396270751953,0.0,3.30758251647,0.6364743709564209,0.0132280946023,16,-1177.27121937,-1.46556788927e-09,0.8990728855133057,0.0546522065997,-0.0132280960679,4811.46229652
0.09670758247375488,0.740259,57,-10767.1428506,18.56364941596985,3.05929,1.11818,-2226.299276,0.374642826659,0.03750348091125488,0.0,3.73608992741,0.8153254985809326,0.0195676725772,17,-822.390225529,4.69800482961e-08,1.1572833061218262,0.0854439660907,-0.0195676255971,4314.85254302
