AverageDiscountedReturn,MeanKL,NumTrajs,ExplainedVariance,LossAfter,LossBefore,PolicyExecTime,AverageReturn,StdReturn,Time,Entropy,MaxReturn,ItrTime,Perplexity,dLoss,ProcessExecTime,MeanKLBefore,EnvExecTime,Iteration,MinReturn
-56945.4979717,0.0953448787332,8,1.11022302463e-16,-0.00550306309015,-4.76837147545e-09,0.10021471977233887,-93144.9943915,2521.31394732,1.060706377029419,8.513630867,-89913.3620905,1.0607099533081055,4982.22006569,0.00550305832177,0.002889871597290039,0.0,0.07537579536437988,0,-98459.3426524
-55614.4201259,0.0809494554996,8,0.989936929161,-0.0751730427146,1.49011611938e-08,0.039121389389038086,-90966.2940462,1810.6298274,1.8881707191467285,8.52284049988,-88246.9677532,0.8241991996765137,5028.31642284,0.0751730576158,0.002660512924194336,0.0,0.07416725158691406,1,-93375.721245
-54759.107038,0.098204344511,8,0.979979417496,-0.132333219051,-1.31130217795e-08,0.03686046600341797,-89567.3421977,2312.26129332,2.7141077518463135,8.53417205811,-85387.3285684,0.822659969329834,5085.61913452,0.132333205938,0.0026466846466064453,0.0,0.07404565811157227,2,-93239.1811784
-52568.5044062,0.0836736261845,8,0.976619575929,-0.06544405967,2.38418582654e-08,0.04674959182739258,-85982.0296059,2071.30126807,3.5326099395751953,8.55927085876,-83796.6269507,0.8156218528747559,5214.87740373,0.0654440835118,0.0026192665100097656,0.0,0.07432317733764648,3,-89762.72393
-49685.1806562,0.0912785083055,8,0.981695134964,-0.0541153997183,5.96046434431e-10,0.03591489791870117,-81264.0835388,1899.35797588,4.354090452194214,8.54703330994,-78608.1799662,0.8186063766479492,5151.44898264,0.0541154003143,0.0026116371154785156,0.0,0.07430219650268555,4,-84884.1454663
-49010.2870238,0.0702760964632,8,0.984223869192,-0.061717171222,-7.15255721317e-09,0.0366520881652832,-80159.9104891,2587.88825138,5.189355373382568,8.57691383362,-75900.9449172,0.8324074745178223,5307.69977828,0.0617171640694,0.0026497840881347656,0.0,0.07445120811462402,5,-83022.3280606
-47706.9590431,0.0887706279755,8,0.977396769986,-0.117600806057,1.10268594256e-08,0.03845953941345215,-78026.0841812,2825.77731139,6.014510154724121,8.57159137726,-73162.6306627,0.8218836784362793,5279.52482433,0.117600817084,0.002646923065185547,0.0,0.0738837718963623,6,-82522.2598311
-44694.0034694,0.0717211440206,8,0.934488238291,-0.087171651423,-2.38418573772e-09,0.04353046417236328,-73096.2430143,3320.36985266,6.8928611278533936,8.54594516754,-66747.3571447,0.8751261234283447,5145.84652129,0.0871716490388,0.0034804344177246094,0.0,0.08089590072631836,7,-78086.1816662
-44430.0770162,0.0889457017183,8,0.983710440019,-0.0954244434834,-5.96046434431e-10,0.03853440284729004,-72664.5588464,2103.27358713,7.731353998184204,8.53494262695,-67881.5857382,0.8352620601654053,5089.53946445,0.0954244428873,0.0026302337646484375,0.0,0.07578396797180176,8,-74951.8343863
-41382.7536273,0.0795512348413,8,0.964549678812,-0.0679569169879,7.74860353658e-09,0.03636527061462402,-67677.6983363,3062.40792694,8.592817544937134,8.5329914093,-63642.6289725,0.858330488204956,5079.61834748,0.0679569247365,0.002611398696899414,0.0,0.07565617561340332,9,-73071.3371679
-39307.1466375,0.0772214531898,8,0.975418516799,-0.0721097737551,1.07288364859e-08,0.039253950119018555,-64280.9505733,1887.72485713,9.472411632537842,8.50848293304,-62198.0562009,0.8763213157653809,4956.63783014,0.0721097844839,0.0026340484619140625,0.0,0.07709431648254395,10,-66757.9792089
-36730.8751806,0.0764942616224,8,0.943583159042,-0.085741341114,1.66893006082e-08,0.03945660591125488,-60064.9843168,2264.87862815,10.328268766403198,8.51134300232,-56954.7268861,0.8516147136688232,4970.83444969,0.0857413578033,0.002658843994140625,0.0,0.0777130126953125,11,-64528.4964656
-35023.7462032,0.0797728002071,8,0.949673341133,-0.0724668055773,5.96046456636e-09,0.03696084022521973,-57271.0770251,1990.64935241,11.16539978981018,8.49786663055,-53521.4495051,0.8338661193847656,4904.29499888,0.0724668115377,0.0026531219482421875,0.0,0.07773995399475098,12,-60009.322749
-35587.3921374,0.0718225091696,8,0.921958471634,-0.0772890374064,1.72853464875e-08,0.03849053382873535,-58193.7172581,2989.76877214,12.006885051727295,8.4474105835,-52509.0936807,0.8382360935211182,4662.98268486,0.0772890546918,0.0027132034301757812,0.0,0.07961750030517578,13,-63046.8807304
-33895.5754003,0.0489148423076,8,0.929863079689,-0.059140343219,-1.07288364859e-08,0.03862190246582031,-55424.5687902,1920.45621969,12.82555866241455,8.44045639038,-52723.0444366,0.8154430389404297,4630.66789465,0.0591403324902,0.0026671886444091797,0.0,0.07793045043945312,14,-58395.8906497
-34070.3277446,0.0559815354645,8,0.962255198176,-0.0494097918272,-8.94069707158e-09,0.037346839904785156,-55710.7014129,1552.10354475,13.656256198883057,8.40564727783,-53591.9028763,0.8278253078460693,4472.2516152,0.0494097828865,0.002640962600708008,0.0,0.07630562782287598,15,-57649.635333
-32546.5657002,0.0706258565187,8,0.967248038365,-0.103038236499,-0.0,0.037032365798950195,-53216.9705381,2068.04901846,14.494984865188599,8.4199552536,-50010.7105027,0.8358631134033203,4536.70044964,0.103038236499,0.002614259719848633,0.0,0.0759134292602539,16,-55703.8512653
-31161.4852022,0.0663997530937,8,0.949988727298,-0.180885985494,-1.31130217795e-08,0.03808999061584473,-50949.8939904,1097.34855932,15.31313157081604,8.49184417725,-49399.6565012,0.8152754306793213,4874.84787222,0.180885972381,0.0026102066040039062,0.0,0.0766596794128418,17,-53450.5663783
-32241.342714,0.068434484303,8,0.964400013978,-0.0823560357094,-8.79168471357e-09,0.0373082160949707,-52716.9525095,2039.94247132,16.16038966178894,8.58845996857,-49832.3863302,0.8443818092346191,5369.33835508,0.0823560269177,0.002613067626953125,0.0,0.07580399513244629,18,-56662.3259865
-30062.6499213,0.0707014352083,8,0.945937808636,-0.125535532832,1.28149988399e-08,0.03650689125061035,-49151.6484583,2203.69685571,17.107701063156128,8.60098743439,-46521.0245055,0.9444496631622314,5437.0256477,0.125535545647,0.002619028091430664,0.0,0.07622289657592773,19,-54210.3303978
-28054.4156926,0.0981733798981,8,0.853927430643,-0.0931512638927,-1.93715088415e-09,0.045662879943847656,-45864.6316001,2136.77893752,18.030840396881104,8.57056617737,-42363.41422,0.9202570915222168,5274.11502959,0.0931512619555,0.0027341842651367188,0.0,0.07772183418273926,20,-49732.4507168
-26688.7106474,0.0715792328119,8,0.922723652433,-0.102679699659,-3.57627860659e-09,0.07513809204101562,-43629.6619974,1551.93977721,19.065297603607178,8.53187942505,-40372.4063815,1.0311505794525146,5073.9730312,0.102679696083,0.0038123130798339844,0.0,0.09726381301879883,21,-45524.9521508
-25291.7441457,0.0756556615233,8,0.90957721427,-0.112339489162,1.266598737e-08,0.047661781311035156,-41343.464637,2237.15297506,20.398707628250122,8.48038578033,-38384.5703928,1.329343557357788,4819.30873283,0.112339501828,0.0034341812133789062,0.0,0.10447096824645996,22,-45756.9314163
-24427.3021774,0.0951072126627,8,0.893739387969,-0.107170380652,-2.14576729718e-08,0.07208633422851562,-39928.5562468,2505.35571173,21.62250065803528,8.47676467896,-37393.6716318,1.2209250926971436,4801.88908552,0.107170359194,0.0045201778411865234,0.0,0.1178593635559082,23,-45273.5853447
-22079.6645619,0.0792626589537,8,0.903698574736,-0.201539337635,7.15255721317e-09,0.07926344871520996,-36086.741291,1325.00133886,23.11111617088318,8.47615337372,-33274.6681341,1.4842278957366943,4798.95456261,0.201539344788,0.004115104675292969,0.0,0.11561369895935059,24,-37997.3284806
-20374.2196692,0.0728309229016,8,0.908536502584,-0.0995386019349,5.96046456636e-09,0.08560395240783691,-33295.7436073,1546.94616067,24.539804935455322,8.43809509277,-31089.0893799,1.4231905937194824,4619.74640914,0.0995386078954,0.0042531490325927734,0.0,0.1155846118927002,25,-35935.2971779
-20955.2792054,0.0875682383776,8,0.949045393721,-0.094472579658,-1.19209286886e-09,0.08453226089477539,-34246.5322187,834.987269661,25.910436391830444,8.43634986877,-33351.9068789,1.3661479949951172,4611.69094818,0.0944725784659,0.0032453536987304688,0.0,0.10729551315307617,26,-35786.2337305
-19909.8923895,0.0824979394674,8,0.783032589313,-0.129450365901,-1.10268594256e-08,0.07964086532592773,-32535.7336895,2563.87757,27.23714828491211,8.32086658478,-29117.4470068,1.3224785327911377,4108.71901932,0.129450354874,0.004063606262207031,0.0,0.11819148063659668,27,-36992.5587595
-17845.618467,0.0798202455044,8,0.660371638712,-0.104262515903,2.98023217216e-10,0.06865358352661133,-29157.5038948,3155.02788812,28.562776803970337,8.23899936676,-25883.4378672,1.3215255737304688,3785.75026471,0.104262516201,0.003520965576171875,0.0,0.10884952545166016,28,-34149.5063006
-16402.467884,0.0973481014371,8,0.717921502153,-0.118497654796,-2.26497647304e-08,0.07453155517578125,-26795.8191648,2440.32725096,29.855583429336548,8.15858459473,-23691.470474,1.2877566814422607,3493.23875443,0.118497632146,0.0042209625244140625,0.0,0.10674428939819336,29,-30691.0170241
-15026.4900467,0.0699709355831,8,0.770847007175,-0.121427372098,-8.34465030408e-09,0.08655071258544922,-24543.8551325,2282.64235418,31.238534927368164,8.10109233856,-21989.5733439,1.3785793781280518,3298.06871601,0.121427363753,0.003695964813232422,0.0,0.11191439628601074,30,-28653.0171691
-13760.6249087,0.0837881863117,8,0.808163304279,-0.129338249564,-5.96046456636e-09,0.07095575332641602,-22472.1502837,1831.24525764,32.53242325782776,8.06239795685,-20086.4625733,1.2897138595581055,3172.88947131,0.129338243604,0.0035316944122314453,0.0,0.11153364181518555,31,-25730.5953729
-12339.1825424,0.0862929746509,8,0.76381570519,-0.110857360065,-1.2516975012e-08,0.06673407554626465,-20146.228848,1344.37271696,33.87474513053894,8.04889392853,-18245.3484578,1.338010549545288,3130.3306863,0.110857347548,0.004170656204223633,0.0,0.11223006248474121,32,-22465.9559721
-13165.9653172,0.0896091461182,8,0.538873935634,-0.118792302907,-9.5367429509e-09,0.06808090209960938,-21499.1658512,1793.15576373,35.155739307403564,8.04407405853,-18771.4677345,1.276062250137329,3115.27920159,0.11879229337,0.003816843032836914,0.0,0.1026310920715332,33,-24456.6245116
-12784.8374166,0.0877846702933,8,0.522771821142,-0.137409731746,-1.07288364859e-08,0.06897521018981934,-20875.1246785,3651.32106727,36.48946785926819,7.92695856094,-16452.6548472,1.3304550647735596,2770.98618959,0.137409721017,0.004145622253417969,0.0,0.10431122779846191,34,-27001.9215118
-10995.5431294,0.0664103105664,8,0.406016592452,-0.0922387689352,1.3709068547e-08,0.07648110389709473,-17947.1224768,2259.45441673,37.87333941459656,7.94372177124,-14797.5392974,1.3789629936218262,2817.82832924,0.0922387826443,0.004293918609619141,0.0,0.1275935173034668,35,-21698.6330413
-9952.10987124,0.0938303768635,8,0.644609695103,-0.0946986079216,-5.96046456636e-09,0.06053447723388672,-16239.4864411,1673.54866913,39.23026132583618,7.92625951767,-13661.6977887,1.3512890338897705,2769.04982722,0.0946986019611,0.004299163818359375,0.0,0.11039495468139648,36,-19562.2053288
-9407.23855035,0.0792994275689,8,0.713880779231,-0.107419155538,1.81794170828e-08,0.1055605411529541,-15347.8091045,960.309537193,40.57032632827759,7.93750858307,-13694.9268936,1.336801528930664,2800.37490843,0.107419173717,0.003557443618774414,0.0,0.09697699546813965,37,-16664.0114904
-9660.02739825,0.0818145871162,8,0.608310470095,-0.137283012271,-1.10268594256e-08,0.07059669494628906,-15761.3119588,2252.96611749,41.84016442298889,8.03328800201,-12857.8550689,1.263566017150879,3081.85818853,0.137283001244,0.003971576690673828,0.0,0.1114354133605957,38,-20444.6622772
-7344.27855111,0.0973289459944,8,-0.0677738130639,-0.124305054545,4.17232515204e-09,0.059771060943603516,-11971.7037574,4551.46824081,42.985292196273804,8.07171916962,-149.561159537,1.1422233581542969,3202.6029167,0.124305058718,0.003953218460083008,0.0,0.10587191581726074,39,-15151.1712658
-7592.63303841,0.0752751529217,8,0.260697584652,-0.128206983209,-1.49011614159e-09,0.08116698265075684,-12377.9823548,4864.0113033,44.44869565963745,8.1495513916,-149.268098511,1.4580104351043701,3461.82571299,0.128206981719,0.004229068756103516,0.0,0.10798096656799316,40,-17437.2450905
-5206.96923225,0.0681955143809,9,0.0109519439951,-0.127024903893,4.24799262433e-09,0.11780285835266113,-8474.17869932,7556.79249889,45.981138467788696,8.17113018036,-146.482872257,1.5273418426513672,3537.33953701,0.127024908141,0.0064427852630615234,0.0,0.20623111724853516,41,-17318.4134373
-7279.61318056,0.0959880650043,8,-0.263944064808,-0.186034202576,2.26497647304e-08,0.0684511661529541,-11865.6053924,4515.46692353,47.30695939064026,8.13805580139,-150.1401374,1.3203670978546143,3422.25784694,0.186034225225,0.004218101501464844,0.0,0.1210167407989502,42,-15242.6687974
-5045.55309616,0.0721571817994,11,-0.253815688098,-0.101383887231,5.17590592608e-09,0.13008356094360352,-8209.87975859,7418.91932706,49.02506113052368,8.17146873474,-147.044527389,1.713179111480713,3538.53732155,0.101383892407,0.007474660873413086,0.0,0.2101578712463379,43,-17620.9508877
-2470.85740257,0.0690893679857,11,0.389104830654,-0.081660181284,7.90337839618e-09,0.13100147247314453,-3996.81338584,6361.52458549,50.75780916213989,8.18130874634,-143.589958456,1.7286481857299805,3573.52844402,0.0816601891873,0.00716853141784668,0.0,0.21815896034240723,44,-16906.8800248
-6750.75191147,0.0657164081931,9,-0.550980576605,-0.0810888260603,-3.98249300204e-09,0.13302969932556152,-11000.0082795,5914.06613238,52.2841010093689,8.21223068237,-147.585232281,1.521895170211792,3685.75505185,0.0810888220778,0.007575035095214844,0.0,0.22803473472595215,45,-16748.8159379
-5610.34547042,0.0992950946093,11,0.162167826228,-0.0974348857999,2.44084841228e-08,0.16194415092468262,-9134.17321856,6832.0974936,54.00492525100708,8.24367332458,-147.352635697,1.7175099849700928,3803.48611781,0.0974349102084,0.00698542594909668,0.0,0.21420526504516602,46,-15534.5773735
-4846.0686453,0.0987230911851,10,-1.32790508957,-0.0835697650909,-1.14900515769e-08,0.13362646102905273,-7883.58126507,7806.84483691,55.85315275192261,8.24039840698,-148.501931715,1.8449344635009766,3791.05038828,0.0835697536009,0.0077953338623046875,0.0,0.19245219230651855,47,-17589.4731412
-3002.12431085,0.0690484791994,11,0.130387691727,-0.0827264115214,9.80698011688e-09,0.14748907089233398,-4866.15029624,6260.0125784,57.83023238182068,8.23457431793,-146.099352748,1.9717416763305664,3769.03514483,0.0827264213284,0.013677835464477539,0.0,0.2790377140045166,48,-13868.7401212
-3324.54597271,0.0698898509145,9,-0.52349789206,-0.190418347716,-9.62227453272e-09,0.1172323226928711,-5393.91838721,7525.05736598,59.288614988327026,8.21385383606,-143.171761373,1.4529063701629639,3691.74245668,0.190418338094,0.006605625152587891,0.0,0.203582763671875,49,-18553.1924628
-61283.3751278,0.0714861378074,8,1.11022302463e-16,-0.0958277732134,-9.5367429509e-09,0.13971924781799316,-100242.506303,1479.29459002,1.6057534217834473,8.513630867,-97419.5695717,1.6057565212249756,4982.22006569,0.0958277636766,0.0029571056365966797,0.0,0.07960367202758789,0,-102575.043756
-61910.0084018,0.0678594112396,8,0.982079549495,-0.0882772654295,-1.57952300128e-08,0.07094573974609375,-101268.929715,2195.28206826,2.9891579151153564,8.58382415771,-97743.5356878,1.3795480728149414,5344.50472454,0.0882772496343,0.0039215087890625,0.0,0.10877013206481934,1,-105707.402602
-58533.0723115,0.0526009649038,8,0.950763954071,-0.0433913432062,2.26497647304e-08,0.057244062423706055,-95743.1408755,1702.75119398,4.2124505043029785,8.59932041168,-93856.9086119,1.214414358139038,5427.96955295,0.0433913658559,0.003292560577392578,0.0,0.09930086135864258,2,-98526.0136117
-58887.7943406,0.0913692116737,8,0.988269078178,-0.0651146098971,-2.98023228318e-09,0.053897857666015625,-96323.9544162,1565.66814197,5.47849440574646,8.56787109375,-93874.3784137,1.26069974899292,5259.91998558,0.0651146069169,0.003365039825439453,0.0,0.10535001754760742,3,-98960.1927681
-57950.2396231,0.0652015507221,8,0.985770070478,-0.093199044466,-4.02331359339e-08,0.06374430656433105,-94788.8457791,1797.31371294,6.625180721282959,8.59380531311,-91838.6102536,1.143355369567871,5398.11616369,0.0931990042329,0.003945589065551758,0.0,0.09335780143737793,4,-98591.2354875
-55799.275141,0.0730266496539,8,0.978328693389,-0.120103791356,-2.89082535687e-08,0.06354784965515137,-91268.893816,1863.71166496,7.8901143074035645,8.58153343201,-87841.2326635,1.2601604461669922,5332.27594192,0.120103762448,0.0043392181396484375,0.0,0.11531519889831543,5,-94397.3394708
-54593.4117137,0.0829794332385,8,0.982457140373,-0.101948283613,-2.68220894384e-08,0.06756234169006348,-89295.7361893,2245.49831774,9.21186876296997,8.56884670258,-85465.6228892,1.3174703121185303,5265.05411399,0.101948256791,0.0038471221923828125,0.0,0.11586666107177734,6,-93060.6059518
-52162.3240801,0.080989420414,8,0.974087621027,-0.0813297107816,1.66893006082e-08,0.11079883575439453,-85316.9044035,2108.13391857,10.540635108947754,8.57026290894,-82436.2453042,1.3246028423309326,5272.51579951,0.0813297274709,0.004394054412841797,0.0,0.10869622230529785,7,-88051.6110087
